date,ohm_staked,ohm_not_staked
2021-05-12T00:00:00+00:00,172478.1213693290000000000000000000,20307.2279797950000000000000000000
2021-05-11T00:00:00+00:00,169361.6591712660000000000000000000,20903.6589644530000000000000000000
2021-05-10T00:00:00+00:00,167728.2613166210000000000000000000,18872.0896944240000000000000000000
2021-05-09T00:00:00+00:00,164085.5155488100000000000000000000,19032.5283496910000000000000000000
2021-05-08T00:00:00+00:00,161704.1622679890000000000000000000,17906.1826099180000000000000000000
2021-05-07T00:00:00+00:00,158580.2699722430000000000000000000,17567.0429125680000000000000000000
2021-05-06T00:00:00+00:00,154831.7323662390000000000000000000,17887.5057392050000000000000000000
2021-05-05T00:00:00+00:00,151593.2020844330000000000000000000,18630.2808493300000000000000000000
2021-05-04T00:00:00+00:00,148932.6553044120000000000000000000,18051.2898002090000000000000000000
2021-05-03T00:00:00+00:00,146293.8517048770000000000000000000,17379.1204493560000000000000000000
2021-05-02T00:00:00+00:00,143057.6991558380000000000000000000,16983.2255125610000000000000000000
2021-05-01T00:00:00+00:00,137202.1720708750000000000000000000,16690.3074120870000000000000000000
2021-04-30T00:00:00+00:00,133844.6971091560000000000000000000,17543.9475365590000000000000000000
2021-04-29T00:00:00+00:00,131718.7261683910000000000000000000,15782.0575827870000000000000000000
2021-04-28T00:00:00+00:00,126084.6507083300000000000000000000,16461.7649471370000000000000000000
2021-04-27T00:00:00+00:00,124166.9611129190000000000000000000,14247.5455812570000000000000000000
2021-04-26T00:00:00+00:00,120862.5386290380000000000000000000,13769.7629937780000000000000000000
2021-04-25T00:00:00+00:00,118431.9130370520000000000000000000,12494.0052217880000000000000000000
2021-04-24T00:00:00+00:00,115189.2347483520000000000000000000,12051.6808212170000000000000000000
2021-04-23T00:00:00+00:00,111971.9488501190000000000000000000,11116.4022770500000000000000000000
2021-04-22T00:00:00+00:00,108148.6236959580000000000000000000,11697.8029508020000000000000000000
2021-04-21T00:00:00+00:00,105351.3822495470000000000000000000,10833.7188926660000000000000000000
2021-04-20T00:00:00+00:00,101385.3762413100000000000000000000,11524.5798419000000000000000000000
2021-04-19T00:00:00+00:00,98551.1312682200000000000000000000,11442.8543313190000000000000000000
2021-04-18T00:00:00+00:00,96827.5457135650000000000000000000,9695.1216653940000000000000000000
2021-04-17T00:00:00+00:00,93044.2160057420000000000000000000,10806.0648871700000000000000000000
2021-04-16T00:00:00+00:00,89233.0894831200000000000000000000,11123.4097484240000000000000000000
2021-04-15T00:00:00+00:00,86838.8054455450000000000000000000,10514.4628571690000000000000000000
2021-04-14T00:00:00+00:00,85656.0608558720000000000000000000,9660.4442772780000000000000000000
2021-04-13T00:00:00+00:00,82487.2721538070000000000000000000,9552.3140730740000000000000000000
2021-04-12T00:00:00+00:00,79748.0717579710000000000000000000,9085.4481176950000000000000000000
2021-04-11T00:00:00+00:00,78530.6650345710000000000000000000,8468.4938919540000000000000000000
2021-04-10T00:00:00+00:00,75638.561000006000000000000000,9041.1147342920000000000000000000
2021-04-09T00:00:00+00:00,74054.001339814000000000000000,8636.8847688960000000000000000000
2021-04-08T00:00:00+00:00,72204.309040584000000000000000,7962.7398361610000000000000000000
2021-04-07T00:00:00+00:00,70519.966032256000000000000000,7679.5364519440000000000000000000
2021-04-06T00:00:00+00:00,68124.327031782000000000000000,7515.6268563760000000000000000000
2021-04-05T00:00:00+00:00,66688.769745415000000000000000,7162.2643380130000000000000000000
2021-04-04T00:00:00+00:00,65477.415154035000000000000000,6566.1752497080000000000000000000
2021-04-03T00:00:00+00:00,63605.838437158000000000000000,6654.4871424420000000000000000000
2021-04-02T00:00:00+00:00,61919.911418081000000000000000,6947.5360923650000000000000000000
2021-04-01T00:00:00+00:00,60304.558558523000000000000000,7191.4761307390000000000000000000
2021-03-31T00:00:00+00:00,59384.857170211000000000000000,6664.8554822510000000000000000000
2021-03-30T00:00:00+00:00,58479.798551552000000000000000,6374.6542270180000000000000000000
2021-03-29T00:00:00+00:00,57810.072052920000000000000000,5752.3567134560000000000000000000
2021-03-28T00:00:00+00:00,56712.276483023000000000000000,5430.7395501730000000000000000000
2021-03-27T00:00:00+00:00,55454.92699124200000000000,6044.2935720680000000000000000000
2021-03-26T00:00:00+00:00,52137.85767898600000000000,8335.3217030680000000000000000000
2021-03-25T00:00:00+00:00,38363.29842546100000000000,21111.5053454740000000000000000000
2021-03-24T00:00:00+00:00,29634.04502934900000000000,29007.75294808000000000000
2021-03-23T00:00:00+00:00,22286.94515961000000000000,36231.07281781900000000000
2021-03-22T00:00:00+00:00,0,68260.000000000000
