count,month,status
8542,2020-05-01T00:00:00,new
-3526,2020-06-01T00:00:00,churned
22558,2020-06-01T00:00:00,new
5016,2020-06-01T00:00:00,retained
-11003,2020-07-01T00:00:00,churned
51815,2020-07-01T00:00:00,new
16571,2020-07-01T00:00:00,retained
887,2020-07-01T00:00:00,returned
-23639,2020-08-01T00:00:00,churned
108295,2020-08-01T00:00:00,new
45634,2020-08-01T00:00:00,retained
2910,2020-08-01T00:00:00,returned
-47394,2020-09-01T00:00:00,churned
133092,2020-09-01T00:00:00,new
109445,2020-09-01T00:00:00,retained
12232,2020-09-01T00:00:00,returned
-131921,2020-10-01T00:00:00,churned
137192,2020-10-01T00:00:00,new
122848,2020-10-01T00:00:00,retained
10260,2020-10-01T00:00:00,returned
-145811,2020-11-01T00:00:00,churned
95752,2020-11-01T00:00:00,new
124489,2020-11-01T00:00:00,retained
25271,2020-11-01T00:00:00,returned
-120601,2020-12-01T00:00:00,churned
111891,2020-12-01T00:00:00,new
124911,2020-12-01T00:00:00,retained
39418,2020-12-01T00:00:00,returned
-138732,2021-01-01T00:00:00,churned
129613,2021-01-01T00:00:00,new
137488,2021-01-01T00:00:00,retained
41934,2021-01-01T00:00:00,returned
-151493,2021-02-01T00:00:00,churned
168105,2021-02-01T00:00:00,new
157542,2021-02-01T00:00:00,retained
43300,2021-02-01T00:00:00,returned
-176941,2021-03-01T00:00:00,churned
239284,2021-03-01T00:00:00,new
192006,2021-03-01T00:00:00,retained
50630,2021-03-01T00:00:00,returned
-239824,2021-04-01T00:00:00,churned
308473,2021-04-01T00:00:00,new
242096,2021-04-01T00:00:00,retained
64120,2021-04-01T00:00:00,returned
-520922,2021-05-01T00:00:00,churned
34850,2021-05-01T00:00:00,new
93767,2021-05-01T00:00:00,retained
12808,2021-05-01T00:00:00,returned
